"iteration","train_R2_known","train_RMSE_known","test_R2_known","test_RMSE_known","train_R2","train_RMSE","test_R2","test_RMSE","train_APE","train_CV","test_APE","test_CV","train_APE_known","train_CV_known","test_APE_known","test_CV_known","cumulative_mean_train_R2","cumulative_mean_test_R2"
1,0.917238757675801,0.878670397921764,0.91256668934913,0.904631681816321,0.871117788898147,1.12226167657038,0.861970229085843,1.17506425413502,7.34782506156352,10.3913938560081,7.34126340036509,10.3821142657495,5.76475856506225,8.1525997465175,5.72571672562774,8.09738624768921,0.871117788898147,0.861970229085843
2,0.922701987476449,0.846457521132322,0.91961372939059,0.878318506381578,0.879104595479287,1.08884374371962,0.873011064306728,1.12177241717008,6.69485335903286,9.46795241844335,6.7083666737907,9.4870631314465,5.21217889170017,7.37113407815714,5.17400163557402,7.31714328476936,0.875111192188717,0.867490646696286
3,0.918305299325185,0.876670405189024,0.918022346425948,0.859876174920925,0.875474465080341,1.107920665143,0.871455761089626,1.10668216830611,7.25641330724358,10.2621181132885,7.34631587589864,10.3892595451726,5.67779182302579,8.02961020045413,5.82232062269397,8.23400478909838,0.875232283152592,0.868812351494066
