Range_of_ages
0 23

Data_set_1
427                                   # data points
7                                    # readers
2 17 3                               # minus group; plus group; reference age
   1  2  3  4  5  6  7
1  7  6  8  7  9  7  8
1  9  6  8  7  9  8  8
1  7  7  7  7  9  7  7
1  8  7  7  7  9  7  6
1  7  7  8  7  9  8  8
1  8  7  8  7  9  8  6
1  7  8  7  7  9  7  7
1  8  8  7  7  9  7  7
1  8  8  7  7  9  8  7
2  8  8  8  7  9  7  7
1  8  8  8  7  9  8  8
1  8  8  8  7  9  8  10
1  9  8  8  7  9  9  8
1  10 8  8  7  9  7  8
2  8  8  9  7  9  8  8
1  8  9  6  7  9  7  6
1  7  9  7  7  9  8  8
1  6  9  8  7  9  7  9
1  8  9  8  7  9  9  8
1  7  9  9  7  9  9  9
1  8  10 9  7  9  7  8
1  7  7  8  7  10 8  7
1  9  7  8  7  10 8  9
1  9  8  8  7  10 8  7
1  9  9  7  7  10 8  7
1  9  9  9  7  10 9  9
1  7  8  8  7  11 8  7
1  10 8  9  7  11 8  8
1  9  8  10 7  11 9  8
1  10 -999  9  8  -999  10 9
1  8  6  7  8  7  7  8
1  9  7  6  8  7  8  8
1  7  9  8  8  7  7  7
1  10 11 8  8  7  9  8
1  7  6  7  8  8  8  6
1  8  6  8  8  8  7  7
1  8  7  8  8  8  6  7
1  8  7  8  8  8  8  8
1  9  7  8  8  8  8  7
1  9  7  8  8  8  8  8
1  7  8  7  8  8  6  8
1  8  8  7  8  8  8  8
1  8  8  8  8  8  7  8
3  8  8  8  8  8  8  7
2  8  8  8  8  8  8  8
2  9  8  8  8  8  8  8
1  8  8  9  8  8  8  8
1  8  8  9  8  8  9  7
1  8  9  8  8  8  8  7
1  8  9  9  8  8  8  9
1  8  9  9  8  8  9  8
1  8  10 8  8  8  7  7
1  11 11 8  8  8  8  8
1  9  11 9  8  8  8  8
1  7  6  8  8  9  8  7
1  7  7  7  8  9  7  7
1  9  7  8  8  9  9  7
1  8  8  7  8  9  8  9
1  8  8  8  8  9  7  7
2  8  8  8  8  9  8  8
2  9  8  8  8  9  8  8
1  8  8  9  8  9  7  8
1  8  8  9  8  9  8  8
1  8  8  9  8  9  8  9
1  8  8  9  8  9  9  9
1  9  8  9  8  9  8  7
1  9  8  9  8  9  8  8
1  9  8  9  8  9  8  9
1  8  9  8  8  9  8  6
2  8  9  8  8  9  9  8
1  8  9  8  8  9  9  9
1  9  9  8  8  9  8  7
1  9  9  9  8  9  9  8
1  9  9  9  8  9  9  9
1  8  9  10 8  9  8  9
1  11 10 8  8  9  8  10
1  8  10 10 8  9  8  9
1  7  7  8  8  10 8  8
1  8  8  7  8  10 10 10
1  9  8  7  8  10 8  8
2  9  8  8  8  10 8  8
1  9  9  8  8  10 8  7
1  9  9  8  8  10 8  8
1  8  9  9  8  10 8  9
1  10 9  9  8  10 8  10
1  8  9  10 8  10 9  10
1  7  8  8  8  11 8  7
1  9  8  10 8  11 8  8
1  10 8  10 8  11 8  7
1  8  9  9  8  11 8  9
1  9  10 8  8  11 10 12
1  10 10 10 8  11 10 9
1  9  12 10 8  11 8  8
1  10 10 9  8  12 9  8
1  10 9  8  8  13 9  9
1  9  8  8  9  8  8  8
1  9  9  8  9  8  9  8
1  8  6  7  9  9  8  7
1  9  7  7  9  9  9  8
1  10 7  8  9  9  9  9
2  9  8  8  9  9  8  8
1  9  8  9  9  9  8  7
1  8  9  8  9  9  8  9
1  9  9  8  9  9  8  8
1  9  9  8  9  9  8  9
1  9  9  9  9  9  8  8
1  9  9  9  9  9  8  9
1  10 9  9  9  9  11 11
1  9  10 8  9  9  8  9
1  10 10 8  9  9  9  9
1  8  8  8  9  10 7  9
1  8  8  8  9  10 8  8
1  8  8  8  9  10 8  11
1  9  8  9  9  10 9  8
1  10 8  10 9  10 9  9
1  9  9  8  9  10 8  9
1  9  9  9  9  10 8  9
1  10 9  9  9  10 10 10
1  11 9  9  9  10 8  10
1  8  9  10 9  10 9  8
1  9  10 8  9  10 9  9
1  10 10 8  9  10 8  8
1  9  10 9  9  10 10 9
1  10 10 9  9  10 9  10
1  10 10 10 9  10 10 6
1  10 11 9  9  10 8  10
1  8  7  8  9  11 8  7
1  10 8  8  9  11 8  9
1  10 9  8  9  11 8  9
1  9  9  9  9  11 10 10
1  10 10 8  9  11 8  9
1  10 10 9  9  11 8  9
1  10 10 10 9  11 10 7
1  11 10 10 9  11 8  9
1  11 10 11 9  11 9  10
1  11 10 11 9  11 10 11
1  9  11 10 9  11 9  9
1  10 11 10 9  11 10 10
1  11 11 10 9  11 8  8
1  11 11 11 9  11 8  10
1  11 11 11 9  11 10 9
1  12 10 10 9  12 10 11
1  11 11 10 9  12 10 10
1  13 11 11 9  12 11 11
1  11 12 12 9  12 11 10
1  10 7  11 9  13 11 10
1  11 11 11 9  13 10 11
1  12 14 14 9  13 12 12
1  11 9  11 9  14 9  9
1  12 14 15 9  16 11 14
1  10 7  8  10 8  8  9
1  8  8  9  10 9  9  9
1  12 8  10 10 9  11 9
1  9  9  8  10 9  8  8
1  11 11 10 10 9  9  10
1  9  9  8  10 10 10 9
1  10 10 8  10 10 9  9
1  8  10 9  10 10 9  9
1  9  10 10 10 10 9  9
1  10 10 10 10 10 9  9
1  8  11 9  10 10 11 11
1  9  11 9  10 10 9  9
1  11 11 11 10 10 11 10
1  9  8  10 10 11 9  9
1  10 9  8  10 11 9  10
1  10 9  9  10 11 9  10
1  10 9  9  10 11 11 10
1  10 9  10 10 11 10 10
1  11 10 9  10 11 9  9
1  11 10 10 10 11 10 9
1  11 10 11 10 11 10 10
1  10 11 9  10 11 10 9
1  10 11 10 10 11 10 9
1  10 11 10 10 11 11 12
1  11 11 10 10 11 11 11
1  12 12 11 10 11 11 9
1  9  8  12 10 12 9  10
1  11 9  10 10 12 11 10
1  10 11 10 10 12 10 6
1  10 11 10 10 12 10 9
1  11 11 11 10 12 11 11
1  12 13 13 10 12 10 11
1  11 10 11 10 13 9  9
1  12 11 10 10 13 12 13
1  12 12 12 10 13 12 13
1  12 12 12 10 13 13 13
1  13 13 12 10 13 12 12
1  12 15 15 10 13 12 13
1  13 11 11 10 14 10 11
1  11 12 10 10 14 11 14
1  14 12 12 10 14 12 13
1  11 8  11 10 16 12 12
1  10 7  9  11 9  9  12
1  11 10 12 11 10 12 10
1  10 8  11 11 11 8  9
1  10 8  15 11 11 9  9
1  11 13 13 11 11 12 12
1  11 9  9  11 12 9  15
1  11 10 11 11 12 12 11
1  12 11 9  11 12 12 12
1  10 11 10 11 12 12 11
1  11 12 9  11 12 12 5
1  12 12 9  11 12 12 11
1  11 8  12 11 13 11 11
1  12 12 10 11 13 10 10
1  12 12 10 11 13 11 11
1  12 13 11 11 13 12 11
1  14 16 12 11 13 12 12
1  10 10 11 11 14 12 11
1  12 14 12 11 14 12 12
1  12 17 12 11 14 13 13
1  12 12 11 11 15 14 13
1  12 11 12 12 11 11 10
1  12 11 11 12 12 10 11
1  12 11 11 12 12 11 12
1  10 11 12 12 12 12 11
1  11 12 11 12 12 13 12
1  11 12 13 12 12 12 9
1  11 11 12 12 13 12 15
1  11 12 10 12 13 12 11
1  12 12 11 12 13 12 11
1  13 12 11 12 13 12 12
1  9  12 12 12 13 10 10
1  12 13 12 12 13 12 14
1  11 14 13 12 13 11 12
1  13 10 12 12 14 12 11
1  12 11 12 12 14 12 12
1  15 13 14 12 14 13 13
1  12 13 14 13 12 12 13
1  13 12 12 13 14 11 11
1  14 16 14 13 15 15 11
1  14 15 15 14 9  14 14
1  14 13 13 14 14 13 14

-999 -999 -999 -999 -999 -999 -999 -999
