"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20","Age 21","Age 22","Age 23"
"Reader",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"CV",0.36368335238306,0.36368335238306,0.210520302245889,0.159465952200165,0.133938777177303,0.118622472163586,0.108411602154441,0.101118123576481,0.0956480146430105,0.0913934854725335,0.0879898621361519,0.0852050794063852,0.0828844271315795,0.0809207982836671,0.0792376878425993,0.0777789921270072,0.0765026333758641,0.0753764344777966,0.0743753687906256,0.0734796784389462,0.0726735571224348,0.0719442092646387,0.0712811657575514,0.0706757782076021
"SD",0.36368335238306,0.36368335238306,0.421040604491778,0.478397856600496,0.535755108709213,0.593112360817931,0.650469612926649,0.707826865035366,0.765184117144084,0.822541369252802,0.879898621361519,0.937255873470237,0.994613125578955,1.05197037768767,1.10932762979639,1.16668488190511,1.22404213401383,1.28139938612254,1.33875663823126,1.39611389033998,1.4534711424487,1.51082839455741,1.56818564666613,1.62554289877485
"Expected_age",0.512803100596314,1.53840930178894,2.56401550298157,3.5896217041742,4.61522790536683,5.64083410655945,6.66644030775208,7.69204650894471,8.71765271013734,9.74325891132997,10.7688651125226,11.7944713137152,12.8200775149078,13.8456837161005,14.8712899172931,15.8968961184857,16.9225023196784,17.948108520871,18.9737147220636,19.9993209232562,21.0249271244489,22.0505333256415,23.0761395268341,24.1017457280268
