"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20","Age 21","Age 22","Age 23"
"Reader",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"CV",0.0426715041585165,0.0426715041585165,0.0822874959702623,0.0954928265741776,0.102095491876135,0.10605709105731,0.108698157178093,0.110584632978652,0.111999489829072,0.113099934046065,0.113980289419659,0.114700580179873,0.115300822480051,0.11580871981097,0.11624406038033,0.116621355540442,0.11695148880554,0.117242782862979,0.117501710914036,0.117733383380772,0.117941888600834,0.11813053618089,0.11830203398094,0.118458618928813
"SD",0.0426715041585165,0.0426715041585165,0.164574991940525,0.286478479722533,0.408381967504541,0.530285455286549,0.652188943068557,0.774092430850565,0.895995918632574,1.01789940641458,1.13980289419659,1.2617063819786,1.38360986976061,1.50551335754261,1.62741684532462,1.74932033310663,1.87122382088864,1.99312730867065,2.11503079645266,2.23693428423466,2.35883777201667,2.48074125979868,2.60264474758069,2.7245482353627
"Expected_age",0.509732622110485,1.52919786633145,2.54866311055242,3.56812835477339,4.58759359899436,5.60705884321533,6.6265240874363,7.64598933165727,8.66545457587824,9.68491982009921,10.7043850643202,11.7238503085412,12.7433155527621,13.7627807969831,14.7822460412041,15.801711285425,16.821176529646,17.840641773867,18.8601070180879,19.8795722623089,20.8990375065299,21.9185027507509,22.9379679949718,23.9574332391928
