"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20","Age 21","Age 22","Age 23"
"Reader",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"CV",0.299174778350491,0.299174778350491,0.193051424025117,0.157676972583325,0.13998974686243,0.129377411429892,0.122302521141534,0.117249028078421,0.113458908281086,0.110511037327604,0.108152740564818,0.106223225031629,0.104615295420638,0.103254739595954,0.102088548889082,0.101077850276459,0.100193488990415,0.0994131702086104,0.0987195535136733,0.0980989491024138,0.0975404051322802,0.0970350558259689,0.0965756473656859,0.0961561874671667
"SD",0.299174778350491,0.299174778350491,0.386102848050234,0.473030917749976,0.559958987449719,0.646887057149462,0.733815126849205,0.820743196548948,0.907671266248691,0.994599335948433,1.08152740564818,1.16845547534792,1.25538354504766,1.3423116147474,1.42923968444715,1.51616775414689,1.60309582384663,1.69002389354638,1.77695196324612,1.86388003294586,1.9508081026456,2.03773617234535,2.12466424204509,2.21159231174483
"Expected_age",0.552974654043625,1.65892396213087,2.76487327021812,3.87082257830537,4.97677188639262,6.08272119447987,7.18867050256712,8.29461981065437,9.40056911874162,10.5065184268289,11.6124677349161,12.7184170430034,13.8243663510906,14.9303156591779,16.0362649672651,17.1422142753524,18.2481635834396,19.3541128915269,20.4600621996141,21.5660115077014,22.6719608157886,23.7779101238759,24.8838594319631,25.9898087400504
