"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20","Age 21","Age 22","Age 23"
"Reader",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"CV",0.109694963179993,0.109694963179993,0.0918573890980327,0.0859115310707126,0.0829386020570526,0.0811548446488566,0.0799656730433926,0.0791162647537754,0.0784792085365625,0.0779837203676192,0.0775873298324645,0.0772630103037016,0.0769927440297325,0.0767640571825279,0.076568039884924,0.0763981582270005,0.0762495117763175,0.0761183531433619,0.0760017676918458,0.0758974543931209,0.0758035724242685,0.0757186315953068,0.0756414126598871,0.0755709084145038
"SD",0.109694963179993,0.109694963179993,0.183714778196065,0.257734593212138,0.33175440822821,0.405774223244283,0.479794038260355,0.553813853276428,0.6278336682925,0.701853483308573,0.775873298324645,0.849893113340718,0.92391292835679,0.997932743372863,1.07195255838894,1.14597237340501,1.21999218842108,1.29401200343715,1.36803181845323,1.4420516334693,1.51607144848537,1.59009126350144,1.66411107851752,1.73813089353359
"Expected_age",0.497483478110456,1.49245043433137,2.48741739055228,3.48238434677319,4.4773513029941,5.47231825921501,6.46728521543592,7.46225217165683,8.45721912787774,9.45218608409866,10.4471530403196,11.4421199965405,12.4370869527614,13.4320539089823,14.4270208652032,15.4219878214241,16.416954777645,17.4119217338659,18.4068886900869,19.4018556463078,20.3968226025287,21.3917895587496,22.3867565149705,23.3817234711914
