"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20","Age 21","Age 22","Age 23"
"Reader",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"CV",0.163880637754156,0.163880637754156,0.116761401788507,0.101054989799958,0.0932017838056827,0.0884898602091179,0.0853485778114079,0.0831048046701865,0.0814219748142705,0.0801131071485581,0.0790660130159881,0.0782092996347945,0.0774953718171331,0.0768912790483427,0.0763734852465224,0.0759247306182782,0.0755320703185644,0.0751856053482288,0.0748776364857082,0.0746020853981898,0.0743540894194232,0.0741297121053011,0.0739257327288264,0.0737394906894365
"SD",0.163880637754156,0.163880637754156,0.233522803577014,0.303164969399873,0.372807135222731,0.442449301045589,0.512091466868448,0.581733632691306,0.651375798514164,0.721017964337022,0.790660130159881,0.860302295982739,0.929944461805597,0.999586627628456,1.06922879345131,1.13887095927417,1.20851312509703,1.27815529091989,1.34779745674275,1.41743962256561,1.48708178838846,1.55672395421132,1.62636612003418,1.69600828585704
"Expected_age",0.519216934201022,1.55765080260307,2.59608467100511,3.63451853940715,4.6729524078092,5.71138627621124,6.74982014461329,7.78825401301533,8.82668788141737,9.86512174981942,10.9035556182215,11.9419894866235,12.9804233550256,14.0188572234276,15.0572910918296,16.0957249602317,17.1341588286337,18.1725926970358,19.2110265654378,20.2494604338399,21.2878943022419,22.3263281706439,23.364762039046,24.403195907448
