Range_of_ages
0 23

Data_set_1
547                                   # data points
6                                    # readers
0 18 1                               # minus group; plus group; reference age
   1  2  3  4  5  6  7
1  -999  -999  -999  -999  -999  13.276355
1  -999  -999  -999  -999  8.738701 7.556004
1  -999  7.134638 7.2211175   7.218113 7.3277225   6.636187
1  -999  13.396532   13.943806   13.222627   13.620554   11.825281
1  2.4438465   2.3278217   2.33401  2.4480774   2.4906712   2.598427
1  2.548286 2.4618015   2.5379124   2.497065 2.5809493   2.5057685
1  2.5749753   2.459497 2.5277576   2.5109456   2.5400379   2.5508997
1  2.5916362   2.51967  2.5182412   2.5754354   2.600154 2.6315162
1  2.6060295   2.539157 2.5603447   2.5575888   2.5711567   2.6512313
1  2.634271 2.5434632   2.6702464   2.622651 2.6274793   2.6405413
1  2.7532337   2.6337895   2.833353 2.8097541   2.7351456   2.8676643
1  2.7579556   2.6721504   2.7124934   2.7170444   2.7479324   2.7134502
1  2.7908537   2.6812468   2.683977 2.7413163   2.7648168   2.7179444
1  2.805228 2.7387192   2.8387914   2.8076274   2.8296437   2.8065312
1  2.8147352   2.6603446   2.7106783   2.7791216   2.7652135   2.8506107
1  2.8802729   2.7630177   2.7447298   2.8494835   2.8351753   2.806794
1  2.8828104   2.8170302   2.8671083   2.8824034   2.9529119   2.9428825
1  2.9773   2.9139876   3.0108001   2.9773633   3.0625226   2.9522781
1  3.0737221   2.948006 3.021936 3.0111387   3.0155663   3.0204644
1  3.0765333   2.9335577   2.9792733   3.0268996   3.11033  3.0686188
1  3.1335974   2.9735541   2.9658685   3.1415758   3.12119  3.1454842
1  3.135795 3.0402036   3.1233644   3.0934844   3.1367834   3.1500876
1  3.2236865   3.1119828   3.1749084   3.179198 3.159042 3.1773434
1  3.2322478   3.133569 3.116144 3.213985 3.218562 3.316954
1  3.2328627   3.0581691   3.0811844   3.1397731   3.1987226   3.252324
1  3.233285 3.092857 3.1399486   3.1998117   3.1893153   3.2769413
1  3.2653627   3.1113615   3.0975182   3.1948946   3.2236083   3.1872985
1  3.28692  3.155224 3.2426493   3.2477105   3.2439773   3.4002984
1  3.2953405   3.2215266   3.3070984   3.284817 3.284108 3.2903259
1  3.3411694   3.1576467   3.1802921   3.2232118   3.3055818   3.2449746
1  3.3692982   3.2887943   3.3390121   3.3234713   3.3194485   3.3613317
1  3.3770995   3.2489262   3.2705688   3.3347816   3.3916202   3.3804526
1  3.3879492   3.2700856   3.3765488   3.362237 3.3553953   3.404723
1  3.3968582   3.2606158   3.2760196   3.356522 3.3553286   3.3238752
1  3.4293387   3.3293214   3.4132926   3.4663534   3.4172351   3.4402273
1  3.4316864   3.281257 3.295589 3.3693385   3.4888444   3.370722
1  3.4509287   3.4192572   3.342774 3.4713295   3.4594731   3.5031548
1  3.591289 3.466766 3.4749568   3.53357  3.6068008   3.5046089
1  3.6052566   3.4152918   3.4734502   -999  3.4820683   3.540035
1  3.60964  3.507644 3.567703 3.5336757   3.6233459   3.5797975
1  3.613852 3.5001278   3.577569 3.585688 3.632756 3.6206737
