"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20","Age 21","Age 22","Age 23"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"CV",0.0802471987360944,0.0802471987360944,0.083403064224096,0.0844550193867632,0.0849809969680967,0.0852965835168969,0.0855069745494303,0.0856572538583828,0.0857699633400971,0.0858576262703194,0.0859277566144972,0.0859851359870063,0.0860329521307639,0.0860734119447127,0.0861080917852402,0.0861381476470306,0.0861644465260973,0.0861876514193915,0.0862082779912085,0.0862267333449395,0.0862433431632974,0.0862583710941926,0.0862720328495519,0.0862845066261844
"SD",0.0802471987360944,0.0802471987360944,0.166806128448192,0.253365058160289,0.339923987872387,0.426482917584485,0.513041847296582,0.59960077700868,0.686159706720777,0.772718636432875,0.859277566144972,0.94583649585707,1.03239542556917,1.11895435528126,1.20551328499336,1.29207221470546,1.37863114441756,1.46519007412965,1.55174900384175,1.63830793355385,1.72486686326595,1.81142579297805,1.89798472269014,1.98454365240224
"Expected_age",0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5
