"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20","Age 21","Age 22","Age 23"
"Reader",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"CV",0.01,0.01,0.0677256909246931,0.0869675878995908,0.0965885363870397,0.102361105479509,0.106209484874489,0.108958327299474,0.111019959118213,0.112623450532788,0.113906243664448,0.11495580168126,0.115830433361937,0.11657050632251,0.11720485457443,0.117754623059427,0.1182356704838,0.11866012409354,0.119037416191087,0.119374993330997,0.119678812756917,0.119953696999415,0.120203591765323,0.120431756551587
"SD",0.01,0.01,0.135451381849386,0.260902763698772,0.386354145548159,0.511805527397545,0.637256909246931,0.762708291096317,0.888159672945704,1.01361105479509,1.13906243664448,1.26451381849386,1.38996520034325,1.51541658219263,1.64086796404202,1.76631934589141,1.89177072774079,2.01722210959018,2.14267349143957,2.26812487328895,2.39357625513834,2.51902763698772,2.64447901883711,2.7699304006865
"Expected_age",0.500854497047595,1.50256349114279,2.50427248523798,3.50598147933317,4.50769047342836,5.50939946752355,6.51110846161874,7.51281745571393,8.51452644980912,9.51623544390431,10.5179444379995,11.5196534320947,12.5213624261899,13.5230714202851,14.5247804143803,15.5264894084755,16.5281984025706,17.5299073966658,18.531616390761,19.5333253848562,20.5350343789514,21.5367433730466,22.5384523671418,23.540161361237
