"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20","Age 21","Age 22","Age 23"
"Reader",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"CV",0.258161120474955,0.258161120474955,0.134993893074351,0.0939381506074826,0.0734102793740486,0.0610935566339882,0.0528824081406145,0.0470173020739191,0.0426184725238975,0.0391971606516585,0.0364601111538673,0.0342207070193108,0.0323545369071805,0.030775469889224,0.0294219838738328,0.0282489626604937,0.027222569098822,0.0263169277208763,0.0255119131627025,0.0247916369790732,0.0241433884138068,0.0235568778071373,0.0230236863465286,0.0225368593607555
"SD",0.258161120474955,0.258161120474955,0.269987786148702,0.281814451822448,0.293641117496194,0.305467783169941,0.317294448843687,0.329121114517434,0.34094778019118,0.352774445864926,0.364601111538673,0.376427777212419,0.388254442886166,0.400081108559912,0.411907774233659,0.423734439907405,0.435561105581151,0.447387771254898,0.459214436928644,0.471041102602391,0.482867768276137,0.494694433949883,0.50652109962363,0.518347765297376
"Expected_age",0.493128460746027,1.47938538223808,2.46564230373013,3.45189922522219,4.43815614671424,5.42441306820629,6.41066998969835,7.3969269111904,8.38318383268245,9.3694407541745,10.3556976756666,11.3419545971586,12.3282115186507,13.3144684401427,14.3007253616348,15.2869822831268,16.2732392046189,17.2594961261109,18.245753047603,19.232009969095,20.2182668905871,21.2045238120791,22.1907807335712,23.1770376550632
