"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20","Age 21","Age 22","Age 23"
"Reader",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"CV",0.19319978291663,0.19319978291663,0.107601978635599,0.0790693772085893,0.0648030764950842,0.0562432960669812,0.0505367757815792,0.0464606898634349,0.0434036254248267,0.0410259086392425,0.0391237352107752,0.0375674114965746,0.0362704750680742,0.0351730673208815,0.034232432109002,0.0334172149253732,0.0327038998896979,0.0320745042699845,0.0315150414969058,0.031014469542046,0.0305639547826722,0.0301563461908577,0.0297857929255719,0.0294474616833544
"SD",0.19319978291663,0.19319978291663,0.215203957271199,0.237208131625768,0.259212305980337,0.281216480334906,0.303220654689475,0.325224829044044,0.347229003398614,0.369233177753183,0.391237352107752,0.413241526462321,0.43524570081689,0.457249875171459,0.479254049526028,0.501258223880598,0.523262398235167,0.545266572589736,0.567270746944305,0.589274921298874,0.611279095653443,0.633283270008013,0.655287444362582,0.677291618717151
"Expected_age",0.484216407976561,1.45264922392968,2.4210820398828,3.38951485583592,4.35794767178905,5.32638048774217,6.29481330369529,7.26324611964841,8.23167893560153,9.20011175155465,10.1685445675078,11.1369773834609,12.105410199414,13.0738430153671,14.0422758313203,15.0107086472734,15.9791414632265,16.9475742791796,17.9160070951327,18.8844399110859,19.852872727039,20.8213055429921,21.7897383589452,22.7581711748984
