"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20","Age 21","Age 22","Age 23"
"Reader",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"CV",0.240687157404367,0.240687157404367,0.128883970494722,0.091616241524841,0.0729823770399003,0.0618020583489358,0.0543485125549595,0.0490245512735479,0.0450315803124891,0.0419259362316657,0.0394414209670069,0.0374086357504679,0.0357146480700188,0.0342812738788695,0.033052667429313,0.0319878751730306,0.0310561819487836,0.030234099692095,0.0295033599083719,0.0288495401018827,0.0282611022760425,0.0277287061479013,0.027244709667773,0.0268027998380906
"SD",0.240687157404367,0.240687157404367,0.257767940989445,0.274848724574523,0.291929508159601,0.309010291744679,0.326091075329757,0.343171858914835,0.360252642499913,0.377333426084991,0.394414209670069,0.411494993255147,0.428575776840225,0.445656560425303,0.462737344010381,0.479818127595459,0.496898911180538,0.513979694765616,0.531060478350694,0.548141261935772,0.56522204552085,0.582302829105928,0.599383612691006,0.616464396276084
"Expected_age",0.501779404626957,1.50533821388087,2.50889702313479,3.5124558323887,4.51601464164262,5.51957345089653,6.52313226015045,7.52669106940436,8.53024987865828,9.53380868791219,10.5373674971661,11.54092630642,12.5444851156739,13.5480439249279,14.5516027341818,15.5551615434357,16.5587203526896,17.5622791619435,18.5658379711974,19.5693967804513,20.5729555897053,21.5765143989592,22.5800732082131,23.583632017467
