"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20","Age 21","Age 22","Age 23"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"CV",0.200958775763471,0.200958775763471,0.112851354025456,0.0834822134461174,0.0687976431564482,0.0599869009826467,0.0541130728667791,0.049917481355445,0.0467707877219445,0.044323359340333,0.0423654166350438,0.0407634635125344,0.0394285025771099,0.0382989202471354,0.0373307068214429,0.0364915885191761,0.0357573600046927,0.0351095113154425,0.0345336458138869,0.0340183977335476,0.0335546744612423,0.0331351153101089,0.0327536978999876,0.0324054472211812
"SD",0.200958775763471,0.200958775763471,0.225702708050911,0.250446640338352,0.275190572625793,0.299934504913234,0.324678437200675,0.349422369488115,0.374166301775556,0.398910234062997,0.423654166350438,0.448398098637878,0.473142030925319,0.49788596321276,0.522629895500201,0.547373827787642,0.572117760075082,0.596861692362523,0.621605624649964,0.646349556937405,0.671093489224845,0.695837421512286,0.720581353799727,0.745325286087168
"Expected_age",0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5
