"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20","Age 21","Age 22","Age 23"
"Reader",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"CV",0.01,0.01,0.0388839955137804,0.0485119940183739,0.0533259932706706,0.0562143928220486,0.0581399925229673,0.0595154208807664,0.0605469921491157,0.0613493253578318,0.0619911919248047,0.0625163554796007,0.062953991775264,0.0633242994100561,0.0636417059541636,0.0639167916257234,0.0641574915883382,0.0643698739082925,0.0645586581926963,0.0647275704471628,0.0648795914761827,0.0650171343119626,0.0651421732535807,0.0652563392437538
"SD",0.01,0.01,0.0777679910275608,0.145535982055122,0.213303973082682,0.281071964110243,0.348839955137804,0.416607946165365,0.484375937192925,0.552143928220486,0.619911919248047,0.687679910275608,0.755447901303169,0.823215892330729,0.89098388335829,0.958751874385851,1.02651986541341,1.09428785644097,1.16205584746853,1.22982383849609,1.29759182952365,1.36535982055122,1.43312781157878,1.50089580260634
"Expected_age",0.470367399087685,1.41110219726306,2.35183699543843,3.2925717936138,4.23330659178917,5.17404138996454,6.11477618813991,7.05551098631528,7.99624578449065,8.93698058266602,9.87771538084139,10.8184501790168,11.7591849771921,12.6999197753675,13.6406545735429,14.5813893717182,15.5221241698936,16.462858968069,17.4035937662444,18.3443285644197,19.2850633625951,20.2257981607705,21.1665329589458,22.1072677571212
