"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20","Age 21","Age 22","Age 23"
"Reader",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"CV",0.172636744954196,0.172636744954196,0.0959860193292908,0.0704357774543223,0.057660656516838,0.0499955839543475,0.0448855355793538,0.0412355010257868,0.0384979751106116,0.0363687882876976,0.0346654388293663,0.0332717892725499,0.0321104146418695,0.0311277130312938,0.030285397365086,0.0295553904543726,0.0289166344074984,0.0283530261308447,0.0278520409960414,0.0274037911385858,0.0270003662668758,0.0266353628115191,0.0263035414884675,0.0260005741935074
"SD",0.172636744954196,0.172636744954196,0.191972038658582,0.211307332362967,0.230642626067352,0.249977919771737,0.269313213476123,0.288648507180508,0.307983800884893,0.327319094589278,0.346654388293663,0.365989681998049,0.385324975702434,0.404660269406819,0.423995563111204,0.443330856815589,0.462666150519975,0.48200144422436,0.501336737928745,0.52067203163313,0.540007325337515,0.559342619041901,0.578677912746286,0.598013206450671
"Expected_age",0.50608917303363,1.51826751910089,2.53044586516815,3.54262421123541,4.55480255730267,5.56698090336993,6.5791592494372,7.59133759550446,8.60351594157172,9.61569428763898,10.6278726337062,11.6400509797735,12.6522293258408,13.664407671908,14.6765860179753,15.6887643640425,16.7009427101098,17.7131210561771,18.7252994022443,19.7374777483116,20.7496560943788,21.7618344404461,22.7740127865134,23.7861911325806
