"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20","Age 21","Age 22","Age 23"
"Reader",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"CV",0.001,0.001,0.059628358781786,0.0791711450423813,0.088942538172679,0.0948053740508576,0.0987139313029767,0.101505757911633,0.103599627868125,0.105228193389842,0.106531045807215,0.107597015966884,0.108485324433274,0.109236970058682,0.109881237737603,0.110439603059334,0.110928172715849,0.111359263589244,0.111742455476707,0.112085311376016,0.112393881685393,0.112673064346259,0.112926866765228,0.113158599408634
"SD",0.001,0.001,0.119256717563572,0.237513435127144,0.355770152690716,0.474026870254288,0.59228358781786,0.710540305381432,0.828797022945004,0.947053740508576,1.06531045807215,1.18356717563572,1.30182389319929,1.42008061076286,1.53833732832644,1.65659404589001,1.77485076345358,1.89310748101715,2.01136419858072,2.1296209161443,2.24787763370787,2.36613435127144,2.48439106883501,2.60264778639858
"Expected_age",0.505323691254203,1.5,2.48464727753242,3.45936664364912,4.42425819858634,5.37942103329879,6.324953239636,7.26095192041597,8.1875131993973,9.10473223115077,10.0127032108313,10.9115193838517,11.8012730554582,12.6820556002104,13.5539574713647,14.4170682101638,15.271476455032,16.1172699506784,16.9545355571077,17.7833592585403,18.6038261722432,19.4160205572704,20.2200258231167,21.0159245382832
