"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20","Age 21","Age 22","Age 23"
"Reader",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"CV",0.0696358116722107,0.0696358116722107,0.091203542783902,0.0983927864877992,0.101987408339748,0.104144181450917,0.105582030191696,0.106609065006539,0.107379341117671,0.107978444759662,0.108457727673255,0.108849868238922,0.109176652043645,0.109453161416872,0.109690169451066,0.109895576414035,0.110075307506632,0.110233893764806,0.110374859327628,0.110500986410152,0.110614500784424,0.110717204265909,0.110810571067258,0.110895819016316
"SD",0.0696358116722107,0.0696358116722107,0.182407085567804,0.295178359463397,0.407949633358991,0.520720907254584,0.633492181150178,0.746263455045771,0.859034728941365,0.971806002836958,1.08457727673255,1.19734855062814,1.31011982452374,1.42289109841933,1.53566237231492,1.64843364621052,1.76120492010611,1.87397619400171,1.9867474678973,2.09951874179289,2.21229001568849,2.32506128958408,2.43783256347967,2.55060383737527
"Expected_age",0.490892399736108,1.5,2.50115614771921,3.49442349785497,4.47986421166701,5.45753996060374,6.42751193016181,7.38984082371534,8.34458686631475,9.29180980845593,10.2315689298195,11.1639230429809,12.0889304970905,13.0066491815259,13.9171365295144,14.8204495217273,15.7166446898464,16.605778120101,17.4879054567787,18.3630819057076,19.231362237711,20.0928007920351,20.9474514797502,21.7953677871237
