"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20","Age 21","Age 22","Age 23"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"CV",0.147984813651628,0.147984813651628,0.10837547076295,0.0951723564667238,0.0885707993186107,0.0846098650297429,0.0819692421704976,0.0800830829853225,0.0786684635964411,0.0775682040717556,0.0766879964520072,0.075967826581304,0.0753676850223846,0.0748598729340682,0.074424605429797,0.074047373592762,0.0737172957353563,0.0734260505670572,0.0731671659730136,0.0729355323888692,0.0727270621631394,0.0725384462446218,0.0723669772277877,0.0722104185602435
"SD",0.147984813651628,0.147984813651628,0.2167509415259,0.285517069400171,0.354283197274443,0.423049325148714,0.491815453022986,0.560581580897257,0.629347708771529,0.6981138366458,0.766879964520072,0.835646092394343,0.904412220268615,0.973178348142887,1.04194447601716,1.11071060389143,1.1794767317657,1.24824285963997,1.31700898751424,1.38577511538852,1.45454124326279,1.52330737113706,1.59207349901133,1.6608396268856
"Expected_age",0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5
