"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20","Age 21","Age 22","Age 23"
"Reader",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"CV",0.277436099511031,0.277436099511031,0.173426123166475,0.138756131051623,0.121421134994197,0.111020137359741,0.104086138936771,0.0991332829203635,0.0954186409080579,0.0925294748984869,0.0902181420908301,0.0883270516118382,0.0867511428793449,0.0854176816441583,0.0842747148711412,0.0832841436678597,0.0824173938649884,0.0816526146271608,0.0809728108602029,0.0803645653845037,0.0798171444563745,0.0793218588547338,0.0788715992168785,0.0784604925910107
"SD",0.277436099511031,0.277436099511031,0.34685224633295,0.416268393154869,0.485684539976788,0.555100686798707,0.624516833620626,0.693932980442545,0.763349127264464,0.832765274086382,0.902181420908301,0.97159756773022,1.04101371455214,1.11042986137406,1.17984600819598,1.2492621550179,1.31867830183981,1.38809444866173,1.45751059548365,1.52692674230557,1.59634288912749,1.66575903594941,1.73517518277133,1.80459132959325
"Expected_age",0.375702868016599,1.5,2.58754203258496,3.63953054967075,4.6571278534273,5.64145824847868,6.59360928410469,7.51463295583266,8.40554686774744,9.26733535680349,10.1009505803814,10.9073135682904,11.6873152403793,12.4418173908801,13.1716536405712,13.8776303578142,14.5605275494788,15.2210997227434,15.8600767187213,16.4781645188342,17.0760460248244,17.6543818132672,18.2138108654165,18.7549512731913
