"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20","Age 21","Age 22","Age 23"
"Reader",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"CV",0.12305525408734,0.12305525408734,0.0946825803117917,0.0852250223866089,0.0804962434240175,0.0776589760464627,0.0757674644614261,0.0744163847578286,0.0734030749801304,0.0726149451530319,0.071984441291353,0.0714685744954339,0.0710386854988347,0.0706749332709431,0.070363145647036,0.0700929297063164,0.0698564907581869,0.0696478681568961,0.0694624258446376,0.0692965037757747,0.0691471739137982,0.0690120659434384,0.0688892405158386,0.068777095560204
"SD",0.12305525408734,0.12305525408734,0.189365160623583,0.255675067159827,0.32198497369607,0.388294880232313,0.454604786768557,0.5209146933048,0.587224599841043,0.653534506377287,0.71984441291353,0.786154319449773,0.852464225986017,0.91877413252226,0.985084039058503,1.05139394559475,1.11770385213099,1.18401375866723,1.25032366520348,1.31663357173972,1.38294347827596,1.44925338481221,1.51556329134845,1.58187319788469
"Expected_age",0.550360617368876,1.5,2.44895343866342,3.39722142883051,4.3448044656149,5.29170304377225,6.23791765770104,7.18344880144282,8.1282969686821,9.07246265274648,10.0159463466078,10.9587485428816,11.9008697338272,12.8423104113491,13.7830710669958,14.7231521919611,15.662554277084,16.6012778128488,17.5393232893856,18.4766911964704,19.4133820235257,20.3493962596201,21.284734393469,22.219396913435
