"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20","Age 21","Age 22","Age 23"
"Reader",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"CV",0.070771717305704,0.070771717305704,0.0744176010620732,0.0756328956475296,0.0762405429402578,0.0766051313158948,0.076848190232986,0.0770218037451941,0.0771520138793501,0.0772532884281382,0.0773343080671686,0.0774005968627389,0.0774558375257142,0.0775025796251549,0.0775426442818183,0.0775773669842599,0.0776077493488963,0.0776345573176931,0.0776583866232903,0.0776797075809299,0.0776988964428055,0.0777162577940263,0.0777320408405907,0.0777464514483234
"SD",0.070771717305704,0.070771717305704,0.148835202124146,0.226898686942589,0.304962171761031,0.383025656579474,0.461089141397916,0.539152626216359,0.617216111034801,0.695279595853244,0.773343080671686,0.851406565490128,0.929470050308571,1.00753353512701,1.08559701994546,1.1636605047639,1.24172398958234,1.31978747440078,1.39785095921923,1.47591444403767,1.55397792885611,1.63204141367455,1.710104898493,1.78816838331144
"Expected_age",0.500983549162724,1.5,2.48243490766228,3.44856349041432,4.39865639848446,5.33297978988425,6.25179540496973,7.15536063976504,8.0439286180691,8.91774826236544,9.77706436355502,10.6221176495318,11.4531448526199,12.2703787758916,13.0740483583845,13.8643787392362,14.6415913207548,15.4059038304419,16.1575303819869,16.8966815352485,17.6235643552405,18.3383824701391,19.0413361283268,19.7326222544898
