"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20","Age 21","Age 22","Age 23"
"Reader",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"CV",0.23175186689913,0.23175186689913,0.160608483912435,0.13689402291687,0.125036792419088,0.117922454120418,0.113179561921305,0.109791781779082,0.107250946672414,0.10527474158945,0.103693777523079,0.102400261468776,0.101322331423523,0.100410236769847,0.0996284413524112,0.0989508853239665,0.0983580237990773,0.0978349106888811,0.0973699212575955,0.0969538780822347,0.09657943922441,0.0962406612101876,0.0959326811972582,0.0956514820550183
"SD",0.23175186689913,0.23175186689913,0.32121696782487,0.410682068750611,0.500147169676351,0.589612270602092,0.679077371527832,0.768542472453573,0.858007573379313,0.947472674305054,1.03693777523079,1.12640287615654,1.21586797708228,1.30533307800802,1.39479817893376,1.4842632798595,1.57372838078524,1.66319348171098,1.75265858263672,1.84212368356246,1.9315887844882,2.02105388541394,2.11051898633968,2.19998408726542
"Expected_age",0.381113641205185,1.5,2.60959525229667,3.70997655039872,4.80122040594561,5.88340269523277,6.95659866448739,8.02088293510046,9.07632950881532,10.1230117728732,11.1610025051158,12.190373879046,13.2111974688459,14.2235442543536,15.2274846259988,16.2230883896968,17.2104247717024,18.1895624234237,19.1605694261947,20.1235132960102,21.0784609882193,22.0254789021818,22.9646328858844,23.8959882405197
