"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20","Age 21","Age 22","Age 23"
"Reader",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"CV",0.0292669716118765,0.0292669716118765,0.0580545779400848,0.0676504467161543,0.072448381104189,0.0753271417370098,0.0772463154922237,0.0786171538888051,0.0796452826862411,0.0804449384175802,0.0810846630026515,0.0816080740268007,0.0820442498802584,0.0824133217562611,0.0827296690785491,0.0830038367578654,0.0832437334772671,0.0834554070532098,0.0836435613429367,0.0838119099179554,0.0839634236354723,0.0841005074751305,0.0842251291475469,0.0843389141527968
"SD",0.0292669716118765,0.0292669716118765,0.11610915588017,0.202951340148463,0.289793524416756,0.376635708685049,0.463477892953342,0.550320077221635,0.637162261489928,0.724004445758222,0.810846630026515,0.897688814294808,0.984530998563101,1.07137318283139,1.15821536709969,1.24505755136798,1.33189973563627,1.41874191990457,1.50558410417286,1.59242628844115,1.67926847270945,1.76611065697774,1.85295284124603,1.93979502551433
"Expected_age",0.481580425239871,1.44474127571961,2.40790212619936,3.3710629766791,4.33422382715884,5.29738467763858,6.26054552811832,7.22370637859807,8.18686722907781,9.15002807955755,10.1131889300373,11.076349780517,12.0395106309968,13.0026714814765,13.9658323319563,14.928993182436,15.8921540329157,16.8553148833955,17.8184757338752,18.781636584355,19.7447974348347,20.7079582853145,21.6711191357942,22.6342799862739
