"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20","Age 21","Age 22","Age 23"
"Reader",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"CV",0.371465482870103,0.371465482870103,0.213230193559669,0.160485097122858,0.134112548904453,0.118289019973409,0.107740000686047,0.10020498690936,0.0945537265768442,0.0901583018737766,0.0866419621113225,0.0837649568511328,0.0813674524676414,0.0793387949123794,0.0775999455792977,0.0760929428239603,0.07477431541304,0.0736108206386986,0.0725766030615062,0.0716512504924393,0.0708184331802791,0.0700649318026104,0.0693799305501843,0.0687544946240561
"SD",0.371465482870103,0.371465482870103,0.426460387119339,0.481455291368575,0.53645019561781,0.591445099867046,0.646440004116282,0.701434908365518,0.756429812614754,0.811424716863989,0.866419621113225,0.921414525362461,0.976409429611697,1.03140433386093,1.08639923811017,1.1413941423594,1.19638904660864,1.25138395085788,1.30637885510711,1.36137375935635,1.41636866360558,1.47136356785482,1.52635847210405,1.58135337635329
"Expected_age",0.50172972064989,1.50518916194967,2.50864860324945,3.51210804454923,4.51556748584901,5.51902692714879,6.52248636844857,7.52594580974835,8.52940525104813,9.53286469234791,10.5363241336477,11.5397835749475,12.5432430162473,13.546702457547,14.5501618988468,15.5536213401466,16.5570807814464,17.5605402227462,18.5639996640459,19.5674591053457,20.5709185466455,21.5743779879453,22.5778374292451,23.5812968705448
