"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20","Age 21","Age 22","Age 23"
"Reader",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"CV",0.119482721222924,0.119482721222924,0.0951286932378613,0.0870106839095072,0.0829516792453302,0.080516276446824,0.0788926745811531,0.0777329589628168,0.0768631722490646,0.0761866714717018,0.0756454708498115,0.0752026703409922,0.0748336699169761,0.0745214387889625,0.0742538121078079,0.0740218689841407,0.0738189187509318,0.0736398450157476,0.0734806683622504,0.0733382471459635,0.0732100680513053,0.0730940964894717,0.0729886677968956,0.0728924068167175
"SD",0.119482721222924,0.119482721222924,0.190257386475723,0.261032051728522,0.331806716981321,0.40258138223412,0.473356047486919,0.544130712739718,0.614905377992517,0.685680043245316,0.756454708498115,0.827229373750914,0.898004039003713,0.968778704256512,1.03955336950931,1.11032803476211,1.18110270001491,1.25187736526771,1.32265203052051,1.39342669577331,1.46420136102611,1.5349760262789,1.6057506915317,1.6765253567845
"Expected_age",0.486841542183737,1.46052462655121,2.43420771091868,3.40789079528616,4.38157387965363,5.3552569640211,6.32894004838858,7.30262313275605,8.27630621712352,9.249989301491,10.2236723858585,11.1973554702259,12.1710385545934,13.1447216389609,14.1184047233284,15.0920878076958,16.0657708920633,17.0394539764308,18.0131370607983,18.9868201451657,19.9605032295332,20.9341863139007,21.9078693982681,22.8815524826356
