"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20","Age 21","Age 22","Age 23"
"Reader",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"CV",0.01,0.01,0.0649391417542839,0.0832521890057119,0.0924087126314259,0.0979026268068543,0.10156523625714,0.104181385864487,0.106143498069997,0.107669585340949,0.108890455157711,0.109889348644153,0.110721759882854,0.111426107854063,0.112029834686527,0.112553064607997,0.113010890789282,0.113414855066887,0.113773934424759,0.114095215955485,0.114384369333139,0.114645984293874,0.11488381607636,0.115100966834282
"SD",0.01,0.01,0.129878283508568,0.249756567017136,0.369634850525704,0.489513134034271,0.609391417542839,0.729269701051407,0.849147984559975,0.969026268068543,1.08890455157711,1.20878283508568,1.32866111859425,1.44853940210281,1.56841768561138,1.68829596911995,1.80817425262852,1.92805253613709,2.04793081964565,2.16780910315422,2.28768738666279,2.40756567017136,2.52744395367992,2.64732223718849
"Expected_age",0.490289865370301,1.4708695961109,2.45144932685151,3.43202905759211,4.41260878833271,5.39318851907332,6.37376824981392,7.35434798055452,8.33492771129512,9.31550744203573,10.2960871727763,11.2766669035169,12.2572466342575,13.2378263649981,14.2184060957387,15.1989858264793,16.1795655572199,17.1601452879605,18.1407250187012,19.1213047494418,20.1018844801824,21.082464210923,22.0630439416636,23.0436236724042
