"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20","Age 21","Age 22","Age 23"
"Reader",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"CV",0.148635278327148,0.148635278327148,0.109253798080865,0.0961266379987706,0.0895630579577234,0.0856249099330952,0.0829994779166763,0.08112416933352,0.0797176878961527,0.0786237578893115,0.0777486138838386,0.0770325869702698,0.0764358978756291,0.0759310071032409,0.075498243584051,0.0751231818674197,0.0747950028653674,0.0745054331576741,0.0742480378619468,0.0740177368078749,0.0738104658592103,0.0736229350008947,0.0734524524024259,0.073296794377737
"SD",0.148635278327148,0.148635278327148,0.21850759616173,0.288379913996312,0.358252231830894,0.428124549665476,0.497996867500058,0.56786918533464,0.637741503169222,0.707613821003804,0.777486138838386,0.847358456672968,0.91723077450755,0.987103092342132,1.05697541017671,1.1268477280113,1.19672004584588,1.26659236368046,1.33646468151504,1.40633699934962,1.47620931718421,1.54608163501879,1.61595395285337,1.68582627068795
"Expected_age",0.508072210724036,1.52421663217211,2.54036105362018,3.55650547506825,4.57264989651632,5.58879431796439,6.60493873941246,7.62108316086054,8.63722758230861,9.65337200375668,10.6695164252048,11.6856608466528,12.7018052681009,13.717949689549,14.734094110997,15.7502385324451,16.7663829538932,17.7825273753412,18.7986717967893,19.8148162182374,20.8309606396855,21.8471050611335,22.8632494825816,23.8793939040297
