"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20","Age 21","Age 22","Age 23"
"Reader",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"CV",0.21471612123755,0.21471612123755,0.156078768550243,0.136532984321141,0.126760092206589,0.120896356937859,0.116987200092038,0.114194945202166,0.112100754034763,0.110471938682337,0.109168886400397,0.108102752715174,0.107214307977487,0.106462547045599,0.105818180532551,0.105259729554577,0.104771084948849,0.104339927943796,0.103956677272637,0.103613768777389,0.103305151131667,0.103025925642679,0.102772084289055,0.102540316096615
"SD",0.21471612123755,0.21471612123755,0.312157537100486,0.409598952963422,0.507040368826358,0.604481784689294,0.701923200552229,0.799364616415165,0.896806032278101,0.994247448141037,1.09168886400397,1.18913027986691,1.28657169572984,1.38401311159278,1.48145452745572,1.57889594331865,1.67633735918159,1.77377877504452,1.87122019090746,1.9686616067704,2.06610302263333,2.16354443849627,2.2609858543592,2.35842727022214
"Expected_age",0.541062802251372,1.62318840675412,2.70531401125686,3.7874396157596,4.86956522026235,5.95169082476509,7.03381642926783,8.11594203377058,9.19806763827332,10.2801932427761,11.3623188472788,12.4444444517816,13.5265700562843,14.608695660787,15.6908212652898,16.7729468697925,17.8550724742953,18.937198078798,20.0193236833008,21.1014492878035,22.1835748923062,23.265700496809,24.3478261013117,25.4299517058145
