"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18","Age 19","Age 20","Age 21","Age 22","Age 23"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"CV",0.0568536443052657,0.0568536443052657,0.0870350126061601,0.0970954687064583,0.102125696756607,0.105143833586697,0.107155924806756,0.108593132821085,0.109671038831831,0.110509410173522,0.111180107246876,0.111728859397801,0.112186152856905,0.112573093476148,0.11290475686407,0.113192198466935,0.113443709869443,0.113665631695185,0.113862895540289,0.114039394770118,0.114198244076965,0.114341964878398,0.114472620152428,0.114591914098281
"SD",0.0568536443052657,0.0568536443052657,0.17407002521232,0.291286406119375,0.408502787026429,0.525719167933484,0.642935548840538,0.760151929747593,0.877368310654648,0.994584691561702,1.11180107246876,1.22901745337581,1.34623383428287,1.46345021518992,1.58066659609697,1.69788297700403,1.81509935791108,1.93231573881814,2.04953211972519,2.16674850063225,2.2839648815393,2.40118126244636,2.51839764335341,2.63561402426047
"Expected_age",0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5,19.5,20.5,21.5,22.5,23.5
