"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18"
"Reader",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
"CV",0.163888200281543,0.163888200281543,0.116764254621448,0.10105627273475,0.0932022817914007,0.0884898872253912,0.0853482908480515,0.083104293435666,0.0814212953763769,0.0801122968858187,0.0790650980933722,0.0782082990813704,0.0774942999047023,0.0768901467552139,0.0763723011985096,0.0759235017160325,0.0755308021688651,0.0751843025684232,0.074876302923586
"SD",0.163888200281543,0.163888200281543,0.233528509242896,0.303168818204249,0.372809127165603,0.442449436126956,0.512089745088309,0.581730054049662,0.651370363011015,0.721010671972369,0.790650980933722,0.860291289895075,0.929931598856428,0.999571907817781,1.06921221677913,1.13885252574049,1.20849283470184,1.27813314366319,1.34777345262455
"Expected_age",0.519216675856071,1.55765002756821,2.59608337928035,3.63451673099249,4.67295008270464,5.71138343441678,6.74981678612892,7.78825013784106,8.8266834895532,9.86511684126534,10.9035501929775,11.9419835446896,12.9804168964018,14.0188502481139,15.057283599826,16.0957169515382,17.1341503032503,18.1725836549625,19.2110170066746
