"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18"
"Reader",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
"CV",0.01,0.01,0.0677257284700204,0.0869676379600272,0.0965885927050305,0.102361165552033,0.106209547450034,0.108958391662892,0.111020024822536,0.112623517280036,0.113906311246037,0.114955869945492,0.115830502195037,0.116570575636961,0.117204924301466,0.117754693144038,0.118235740881288,0.118660194767097,0.119037487110038
"SD",0.01,0.01,0.135451456940041,0.260902913880081,0.386354370820122,0.511805827760163,0.637257284700204,0.762708741640244,0.888160198580285,1.01361165552033,1.13906311246037,1.26451456940041,1.38996602634045,1.51541748328049,1.64086894022053,1.76632039716057,1.89177185410061,2.01722331104065,2.14267476798069
"Expected_age",0.500854040919998,1.50256212276,2.50427020459999,3.50597828643999,4.50768636827999,5.50939445011998,6.51110253195998,7.51281061379998,8.51451869563997,9.51622677747997,10.51793485932,11.51964294116,12.521351023,13.52305910484,14.52476718668,15.52647526852,16.5281833503599,17.5298914321999,18.5315995140399
