"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18"
"Reader",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
"CV",0.299155079406342,0.299155079406342,0.193043276156395,0.157672675073079,0.139987374531421,0.129376194206426,0.122302073989763,0.117249130977861,0.113459423718934,0.110511873628658,0.108153833556437,0.106224528042801,0.104616773448105,0.103256365714132,0.102090301942154,0.101079713339774,0.100195448312691,0.0994152144652647,0.0987216732675527
"SD",0.299155079406342,0.299155079406342,0.38608655231279,0.473018025219237,0.559949498125685,0.646880971032132,0.733812443938579,0.820743916845027,0.907675389751474,0.994606862657921,1.08153833556437,1.16846980847082,1.25540128137726,1.34233275428371,1.42926422719016,1.51619570009661,1.60312717300305,1.6900586459095,1.77699011881595
"Expected_age",0.552974206584597,1.65892261975379,2.76487103292298,3.87081944609218,4.97676785926137,6.08271627243056,7.18866468559976,8.29461309876895,9.40056151193815,10.5065099251073,11.6124583382765,12.7184067514457,13.8243551646149,14.9303035777841,16.0362519909533,17.1422004041225,18.2481488172917,19.3540972304609,20.4600456436301
