"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18"
"Reader",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
"CV",0.109686320783644,0.109686320783644,0.0918545302809975,0.0859106001134487,0.0829386350296743,0.0811554559794096,0.0799666699458999,0.0791175370648215,0.0784806874040127,0.0779853598900502,0.0775890978788803,0.0772648835061049,0.0769947048621255,0.0767660921633736,0.0765701384215862,0.0764003118453706,0.0762517135911819,0.0761205974845447,0.0760040498342007
"SD",0.109686320783644,0.109686320783644,0.183709060561995,0.257731800340346,0.331754540118697,0.405777279897048,0.479800019675399,0.55382275945375,0.627845499232101,0.701868239010452,0.775890978788803,0.849913718567154,0.923936458345505,0.997959198123856,1.07198193790221,1.14600467768056,1.22002741745891,1.29405015723726,1.36807289701561
"Expected_age",0.497483062268429,1.49244918680529,2.48741531134215,3.48238143587901,4.47734756041586,5.47231368495272,6.46727980948958,7.46224593402644,8.4572120585633,9.45217818310016,10.447144307637,11.4421104321739,12.4370765567107,13.4320426812476,14.4270088057844,15.4219749303213,16.4169410548582,17.411907179395,18.4068733039319
