"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18"
"Reader",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
"CV",0.0426730906039532,0.0426730906039532,0.082288143929682,0.0954931617049249,0.102095670592546,0.106057175925119,0.108698179480168,0.110584610590917,0.111999433923979,0.113099852071915,0.113980186590265,0.114700460287096,0.115300688367789,0.115808573666837,0.116243903923164,0.116621190145314,0.116951315589695,0.117242602746501,0.117501524663663
"SD",0.0426730906039532,0.0426730906039532,0.164576287859364,0.286479485114775,0.408382682370185,0.530285879625596,0.652189076881007,0.774092274136417,0.895995471391828,1.01789866864724,1.13980186590265,1.26170506315806,1.38360826041347,1.50551145766888,1.62741465492429,1.7493178521797,1.87122104943511,1.99312424669052,2.11502744394594
"Expected_age",0.509732141599286,1.52919642479786,2.54866070799643,3.568124991195,4.58758927439358,5.60705355759215,6.62651784079072,7.6459821239893,8.66544640718787,9.68491069038644,10.704374973585,11.7238392567836,12.7433035399822,13.7627678231807,14.7822321063793,15.8016963895779,16.8211606727765,17.840624955975,18.8600892391736
