"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18"
"Reader",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
"CV",0.363684620628102,0.363684620628102,0.210520008887112,0.159465138306782,0.133937703016617,0.118621241842518,0.108410267726452,0.101116714786405,0.0956465500813694,0.0913919775330086,0.08798831949432,0.0852035083717565,0.082882832436287,0.0809191835678127,0.0792360559662634,0.077777345378254,0.0765009736137457,0.0753747632332973,0.0743736873395653
"SD",0.363684620628102,0.363684620628102,0.421040017774224,0.478395414920346,0.535750812066468,0.59310620921259,0.650461606358712,0.707817003504834,0.765172400650956,0.822527797797078,0.8798831949432,0.937238592089322,0.994593989235444,1.05194938638157,1.10930478352769,1.16666018067381,1.22401557781993,1.28137097496605,1.33872637211218
"Expected_age",0.512802439467036,1.53840731840111,2.56401219733518,3.58961707626925,4.61522195520332,5.6408268341374,6.66643171307147,7.69203659200554,8.71764147093961,9.74324634987368,10.7688512288078,11.7944561077418,12.8200609866759,13.84566586561,14.871270744544,15.8968756234781,16.9224805024122,17.9480853813463,18.9736902602803
