"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
"CV",0.0802451052595519,0.0802451052595519,0.0834020101906407,0.0844543118343369,0.084980462656185,0.0852961531492939,0.0855066134780332,0.0856569422842755,0.0857696888889572,0.0858573806925986,0.0859275341355117,0.085984932406986,0.0860327642998813,0.0860732374400234,0.0861079287030024,0.0861379944642509,0.0861643020053433,0.0861875145416013,0.086208147907164
"SD",0.0802451052595519,0.0802451052595519,0.166804020381281,0.253362935503011,0.33992185062474,0.42648076574647,0.513039680868199,0.599598595989928,0.686157511111658,0.772716426233387,0.859275341355117,0.945834256476846,1.03239317159858,1.1189520867203,1.20551100184203,1.29206991696376,1.37862883208549,1.46518774720722,1.55174666232895
"Expected_age",0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5
