"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18"
"Reader",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
"CV",0.172636398190318,0.172636398190318,0.0959858808204168,0.070435708363783,0.0576606221354661,0.049995570398476,0.0448855359071492,0.0412355112704873,0.0384979927929908,0.036368811754938,0.0346654669244957,0.0332718211541339,0.0321104496788323,0.0311277507381926,0.0302854373605013,0.029555432433169,0.0289166781217531,0.0283530713763862,0.0278520876027267
"SD",0.172636398190318,0.172636398190318,0.191971761640834,0.211307125091349,0.230642488541864,0.24997785199238,0.269313215442895,0.288648578893411,0.307983942343926,0.327319305794442,0.346654669244957,0.365990032695473,0.385325396145988,0.404660759596503,0.423996123047019,0.443331486497534,0.46266684994805,0.482002213398565,0.501337576849081
"Expected_age",0.506089185817325,1.51826755745198,2.53044592908663,3.54262430072128,4.55480267235593,5.56698104399058,6.57915941562523,7.59133778725988,8.60351615889453,9.61569453052918,10.6278729021638,11.6400512737985,12.6522296454331,13.6644080170678,14.6765863887024,15.6887647603371,16.7009431319717,17.7131215036064,18.725299875241
