"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18"
"Reader",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
"CV",0.193199478643487,0.193199478643487,0.107601870188504,0.0790693340368426,0.0648030659610121,0.0562433051155138,0.0505367978851816,0.0464607212920872,0.0434036638472663,0.0410259525012946,0.0391237834245172,0.0375674632707902,0.0362705298093511,0.0351731245727488,0.0342324915128039,0.033417276194185,0.0327039627903935,0.0320745686105774,0.0315151071174076
"SD",0.193199478643487,0.193199478643487,0.215203740377007,0.237208002110528,0.259212263844048,0.281216525577569,0.30322078731109,0.32522504904461,0.347229310778131,0.369233572511651,0.391237834245172,0.413242095978693,0.435246357712213,0.457250619445734,0.479254881179254,0.501259142912775,0.523263404646296,0.545267666379816,0.567271928113337
"Expected_age",0.484216417324846,1.45264925197454,2.42108208662423,3.38951492127392,4.35794775592361,5.3263805905733,6.29481342522299,7.26324625987268,8.23167909452237,9.20011192917207,10.1685447638218,11.1369775984714,12.1054104331211,13.0738432677708,14.0422761024205,15.0107089370702,15.9791417717199,16.9475746063696,17.9160074410193
