"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18"
"Reader",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
"CV",0.200958823601073,0.200958823601073,0.112851372558708,0.0834822222112529,0.0687976470375255,0.059986901933289,0.054113071863798,0.0499174789570187,0.0467707842769343,0.044323355081313,0.042365411724816,0.0407634580695003,0.0394284966900705,0.0382989139843992,0.0373307002366809,0.036491581655325,0.0357573528966387,0.0351095039919154,0.034533638298828
"SD",0.200958823601073,0.200958823601073,0.225702745117416,0.250446666633759,0.275190588150102,0.299934509666445,0.324678431182788,0.349422352699131,0.374166274215474,0.398910195731817,0.42365411724816,0.448398038764503,0.473141960280846,0.497885881797189,0.522629803313532,0.547373724829875,0.572117646346219,0.596861567862562,0.621605489378905
"Expected_age",0.5,1.5,2.5,3.5,4.5,5.5,6.5,7.5,8.5,9.5,10.5,11.5,12.5,13.5,14.5,15.5,16.5,17.5,18.5
