"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18"
"Reader",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
"CV",0.258160776305081,0.258160776305081,0.134993754126058,0.0939380800663842,0.0734102430365471,0.0610935408186448,0.05288240600671,0.0470173097124708,0.0426184874917914,0.0391971813201519,0.0364601363828403,0.0342207359795853,0.0323545689768728,0.0307755045899623,0.0294220208297533,0.0282490015709054,0.0272226097194136,0.0263169698504502,0.0255119566335938
"SD",0.258160776305081,0.258160776305081,0.269987508252117,0.281814240199153,0.293640972146188,0.305467704093224,0.31729443604026,0.329121167987296,0.340947899934331,0.352774631881367,0.364601363828403,0.376428095775438,0.388254827722474,0.40008155966951,0.411908291616546,0.423735023563581,0.435561755510617,0.447388487457653,0.459215219404688
"Expected_age",0.49312847324576,1.47938541973728,2.4656423662288,3.45189931272032,4.43815625921184,5.42441320570336,6.41067015219489,7.39692709868641,8.38318404517793,9.36944099166945,10.355697938161,11.3419548846525,12.328211831144,13.3144687776355,14.3007257241271,15.2869826706186,16.2732396171101,17.2594965636016,18.2457535100931
