"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18"
"Reader",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
"CV",0.01,0.01,0.0388839955220546,0.0485119940294062,0.053325993283082,0.0562143928352874,0.0581399925367578,0.0595154208949508,0.0605469921635956,0.0613493253725416,0.0619911919396984,0.0625163554946448,0.0629539917904335,0.0633242994253317,0.0636417059695301,0.0639167916411687,0.0641574916038525,0.0643698739238676,0.0645586582083255
"SD",0.01,0.01,0.0777679910441093,0.145535982088219,0.213303973132328,0.281071964176437,0.348839955220547,0.416607946264656,0.484375937308765,0.552143928352874,0.619911919396984,0.687679910441093,0.755447901485202,0.823215892529312,0.890983883573421,0.95875187461753,1.02651986566164,1.09428785670575,1.16205584774986
"Expected_age",0.470367404393308,1.41110221317992,2.35183702196654,3.29257183075316,4.23330663953977,5.17404144832639,6.114776257113,7.05551106589962,7.99624587468623,8.93698068347285,9.87771549225947,10.8184503010461,11.7591851098327,12.6999199186193,13.6406547274059,14.5813895361925,15.5221243449792,16.4628591537658,17.4035939625524
