"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Age 6","Age 7","Age 8","Age 9","Age 10","Age 11","Age 12","Age 13","Age 14","Age 15","Age 16","Age 17","Age 18"
"Reader",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"True_Age",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
"CV",0.240687567136645,0.240687567136645,0.128884129723693,0.0916163172527096,0.0729824110172176,0.0618020672759225,0.0543485047817257,0.0490245315715852,0.0450315516639797,0.0419259006247311,0.0394413797933322,0.0374085900221876,0.0357145985462338,0.0342812211435036,0.0330526119411635,0.0319878172991354,0.0310561219873608,0.0302340378887362,0.0295032964677365
"SD",0.240687567136645,0.240687567136645,0.257768259447387,0.274848951758129,0.291929644068871,0.309010336379612,0.326091028690354,0.343171721001096,0.360252413311838,0.37733310562258,0.394413797933322,0.411494490244064,0.428575182554805,0.445655874865547,0.462736567176289,0.479817259487031,0.496897951797773,0.513978644108515,0.531059336419257
"Expected_age",0.501779410873213,1.50533823261964,2.50889705436606,3.51245587611249,4.51601469785891,5.51957351960534,6.52313234135176,7.52669116309819,8.53024998484461,9.53380880659104,10.5373676283375,11.5409264500839,12.5444852718303,13.5480440935767,14.5516029153232,15.5551617370696,16.558720558816,17.5622793805624,18.5658382023089
